displacement,force
-0.0065,-0.25914363
-0.00325,-0.25152176
-0.00325,-0.25914363
-0.00325,-0.25914363
-0.00162,-0.09146246
-0.00162,-0.09146246
0,-0.09908433
-0.00162,-0.1067062
-0.00325,-0.12194995
0,-0.12957182
-0.00162,-0.13719369
-0.00162,-0.13719369
0,-0.1600593
0,-0.15243743
-0.00325,-0.18292492
-0.00325,-0.19054679
-0.00325,-0.2134124
-0.00487,-0.22103428
-0.00325,-0.22103428
-0.00325,-0.22103428
-0.00162,-0.2134124
-0.00325,-0.24389989
-0.00162,-0.24389989
-0.00325,-0.25914363
-0.00325,-0.25914363
-0.00325,-0.25914363
-0.00325,-0.26676551
-0.00162,-0.28963112
-0.00162,-0.29725299
-0.00325,-0.31249673
-0.00325,-0.32011861
-0.00325,-0.32774048
-0.00325,-0.32774048
-0.00325,-0.33536235
-0.00162,-0.35060609
-0.00162,-0.35822796
-0.00162,-0.35822796
-0.00325,-0.33536235
-0.00162,-0.32774048
-0.00162,-0.32011861
-0.00487,-0.31249673
-0.00325,-0.30487486
-0.00487,-0.30487486
-0.00325,-0.29725299
-0.00812,-0.28200925
-0.00162,-0.26676551
-0.00487,-0.26676551
0,-0.25914363
-0.00325,-0.24389989
-0.00487,-0.24389989
-0.00162,-0.22103428
-0.00325,-0.2134124
-0.00487,-0.22103428
-0.00325,-0.20579053
-0.00487,-0.19816866
-0.0065,-0.19054679
-0.00487,-0.18292492
-0.00325,-0.16768117
-0.00487,-0.1600593
-0.00325,-0.1600593
-0.00487,-0.14481556
-0.00487,-0.13719369
-0.00487,-0.13719369
-0.00325,-0.12957182
-0.00325,-0.11432807
-0.00487,-0.12957182
-0.00325,-0.12194995
-0.00325,-0.1067062
-0.00325,-0.1067062
-0.00162,-0.09908433
-0.00162,-0.09146246
-0.00487,-0.08384059
-0.00162,-0.07621872
-0.00487,-0.06859684
-0.00487,-0.06859684
-0.00487,-0.06097497
-0.00325,-0.04573123
-0.00162,-0.04573123
-0.0065,-0.03810936
-0.00487,-0.03048749
-0.00487,-0.03048749
-0.00162,-0.01524374
-0.00162,-0.01524374
-0.00325,-0.01524374
-0.00487,-0.00762187
-0.00325,0.01524374
-0.0065,0.01524374
-0.00325,0.01524374
-0.00487,0.01524374
-0.0065,0.02286561
-0.00162,0.03048749
-0.00487,0.03810936
-0.00325,0.03048749
-0.00487,0.03048749
-0.00487,0.04573123
-0.00162,0.04573123
-0.00487,0.0533531
-0.00487,0.06097497
-0.00487,0.06097497
-0.00487,0.06097497
-0.00487,0.06097497
-0.00325,0.0533531
-0.00325,0.06859684
-0.00162,0.06097497
-0.0065,0.06097497
-0.00487,0.06859684
-0.00487,0.06097497
-0.00162,0.06097497
-0.00325,0.07621872
-0.00325,0.08384059
-0.00325,0.07621872
-0.00487,0.08384059
-0.0065,0.09908433
-0.00162,0.09146246
-0.00487,0.08384059
-0.00325,0.08384059
-0.00325,0.08384059
-0.00325,0.09908433
-0.00162,0.09908433
-0.0065,0.09908433
-0.00487,0.1067062
-0.00325,0.1067062
-0.00487,0.12194995
-0.00325,0.11432807
-0.00162,0.11432807
-0.00325,0.12194995
-0.00487,0.12194995
-0.00325,0.12194995
-0.00325,0.12194995
-0.00325,0.11432807
-0.00325,0.12194995
-0.0065,0.12957182
-0.00162,0.12194995
-0.00325,0.12194995
-0.00162,0.13719369
-0.0065,0.12957182
-0.00162,0.14481556
-0.00162,0.14481556
-0.00162,0.13719369
-0.00325,0.15243743
-0.00487,0.14481556
-0.00325,0.15243743
